brand,product_name,product_type,primary_category,subcategory,taxonomy_path,reason_for_selection,confidence_level,variant_recommendation,duplicate_status,seo_priority,geo_priority,price,migration_key,source_title,slug,description,meta_title,meta_description,variant_count,image_count,story_eligible
Kriega,Kriega R15 Backpack,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: Kriega (score 44),High,Single variant,Unique,High,Medium,23000,kriega-r15-backpack,Kriega R15 Backpack,kriega-r15-backpack,"The Kriega R15 has a 15-litre capacity main compartment with 4-point pack compression. Organizer pockets: front sleeve, zipped inner mesh, inner reservoir pocket with 2-point… • SUPERSPACE 5mm airspace back. • YKK water-resistant zips. • HYPALON: abrasion resistant re-enforcement. • Schoeller DYNATECH with integrated 3M Scotchlite.",Buy Kriega R15 Backpack | Mile 27 Store,"The Kriega R15 has a 15-litre capacity main compartment with 4-point pack compression. Organizer pockets: front sleeve, zipped inner mesh, inner reservoir…",1,4,true
Kriega,Kriega US-10 Drypack,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: Kriega (score 31),High,Single variant,Unique,High,Medium,18000,kriega-us-10-drypack,Kriega US-10 Drypack,kriega-us-10-drypack,"Our best selling US-Drypack System has led the way for universal-fit, waterproof carrying on a motorcycle for over 15 years. Now the classic design has…",Buy Kriega US-10 Drypack | Mile 27 Store,"Our best selling US-Drypack System has led the way for universal-fit, waterproof carrying on a motorcycle for over 15 years. Now the classic design has…",1,4,false
OGIO,OGIO Rig 9800,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: OGIO (score 54),High,Keep 8 variants (sizes/colours),Unique,High,Medium,51000,ogio-rig-9800,OGIO Rig 9800,ogio-rig-9800,"The OGIO 9800 Gear Bag lets you leave nothing behind when traveling with enough room for your boots, helmet, roost protector and more. Pack and… • SLED (Structural Load Equalizing Deck) System for increased durability and handling in the harshest of conditions. • Wide mouth LID opening for easy access to all gear compartments. • Large main compartment with adjustable dividers and padded helmet chamber. • Several multi-use LID compartments for apparel and smaller gear. Available in multiple sizes",Buy OGIO Rig 9800 | Mile 27 Store,"The OGIO 9800 Gear Bag lets you leave nothing behind when traveling with enough room for your boots, helmet, roost protector and more. Pack and… SLED…",8,7,true
OGIO,Fly Racing Dirt Ogio Layover Roller Bag,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: OGIO (score 39),High,Single variant,Unique,High,Medium,38800,fly-racing-dirt-ogio-layover-roller-bag,Fly Racing Dirt Ogio Layover Roller Bag,fly-racing-dirt-ogio-layover-roller-bag,"Fly Racing Dirt Ogio Layover Roller Bag • Custom inline skate wheels and locking retractable handles provide optimum mobility. • 2-stage pullman handle, internal compression straps, two low profile external pockets. • Custom OGIO ID sleeve. • Multiple grab handles.",Buy Fly Racing Dirt Ogio Layover Roller Bag | Mile 27 Store,"Fly Racing Dirt Ogio Layover Roller Bag Custom inline skate wheels and locking retractable handles provide optimum mobility. 2-stage pullman handle,…",1,1,true
OGIO,OGIO ONU 29 Travel Bag,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: OGIO (score 39),High,Single variant,Unique,High,Medium,38800,ogio-onu-29-travel-bag,OGIO ONU 29 Travel Bag,ogio-onu-29-travel-bag,"The OGIO ONU29 is a large check-in bag that can swallow all of your vacation essentials. • Neoprene grab handles. • Internal suit strap. • Retractable Pullman handle. • Quiet, durable urethane wheels.",Buy OGIO ONU 29 Travel Bag | Mile 27 Store,The OGIO ONU29 is a large check-in bag that can swallow all of your vacation essentials. Neoprene grab handles. Internal suit strap. Retractable Pullman…,1,2,true
OGIO,OGIO VR46 Layover Travel Bag,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: OGIO (score 39),High,Single variant,Unique,High,Medium,38800,ogio-vr46-layover-travel-bag,OGIO VR46 Layover Travel Bag,ogio-vr46-layover-travel-bag,"When you are ready to carry all that and a bag of chips, the OGIO VR46 Layover Travel Bag is the perfect bag to take… • Custom in-line skate wheels and locking retractable handles provide optimum mobility. • 2-stage pullman handle. • Internal compression straps. • Two low profile external pockets.",Buy OGIO VR46 Layover Travel Bag | Mile 27 Store,"When you are ready to carry all that and a bag of chips, the OGIO VR46 Layover Travel Bag is the perfect bag to take… Custom in-line skate wheels and…",1,1,true
OGIO,OGIO Rev RSS Backpack,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: OGIO (score 44),High,Single variant,Unique,High,Medium,29800,ogio-rev-rss-backpack,OGIO Rev RSS Backpack,ogio-rev-rss-backpack,"The laptop compartment of the OGIO Rev features the innovative RSS (reactive suspension system), which cradles your laptop against damage if you happen to drop… • Dedicated fleece lined top loading laptop compartment fits most 15"" laptops. • Reactive Suspension System laptop storage. • Large main compartment for your daily essentials. • Integrated foam panels keep your electronics and other valuables protected.",Buy OGIO Rev RSS Backpack | Mile 27 Store,"The laptop compartment of the OGIO Rev features the innovative RSS (reactive suspension system), which cradles your laptop against damage if you happen to…",1,3,true
OGIO,OGIO No Drag Mach 5 Backpack,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: OGIO (score 54),High,Keep 3 variants (sizes/colours),Unique,High,Medium,24999,ogio-no-drag-mach-5-backpack,OGIO No Drag Mach 5 Backpack,ogio-no-drag-mach-5-backpack,"The OGIO Mach 5 Back Pack is OGIO's top-of-the-line aerodynamic backpack. Full of features such as a pocket for shoes, helmet carry strap and a… • Weather resistant molded exterior shell with molded graphic design. • Laptop protective compartment fits most 15"" laptops. • iPad tablet protective compartment. • Fleece lined smartphone and personal electronics protective pockets. Available in multiple sizes and/or colours — select your variant.",Buy OGIO No Drag Mach 5 Backpack | Mile 27 Store,"The OGIO Mach 5 Back Pack is OGIO's top-of-the-line aerodynamic backpack. Full of features such as a pocket for shoes, helmet carry strap and a… Weather…",3,4,true
OGIO,OGIO Super Mini Tanker Tank Bag,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: OGIO (score 39),High,Single variant,Unique,High,Medium,10000,ogio-super-mini-tanker-tank-bag,OGIO Super Mini Tanker Tank Bag,ogio-super-mini-tanker-tank-bag,The OGIO Super Mini Tank Bag is small but mighty. The sleek and smart design holds just enough items without becoming big and bulky. A… • Deluxe main compartment design with easy access organizer pocket. • Sleek streamlined air flow surface design. • Textured neoprene non-slip pad for paint protection. • Posh sunglasses pocket.,Buy OGIO Super Mini Tanker Tank Bag | Mile 27 Store,The OGIO Super Mini Tank Bag is small but mighty. The sleek and smart design holds just enough items without becoming big and bulky. A… Deluxe main…,1,1,true
OGIO,OGIO Throttle Backpack,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: OGIO (score 54),High,Keep 3 variants (sizes/colours),Unique,Medium,Medium,8800,ogio-throttle-backpack,OGIO Throttle Backpack,ogio-throttle-backpack,"The OGIO Throttle Pack is a top-loading back pack with a water-resistant rain hood. The internal electronics pocket is fleece line, and the laptop sleeve… • Top loading main volume entry. • External access hanging padded computer sleeve, tablet sleeve, and phone pocket with water resistant rain hood. • Two external side pockets for beverage/small items. • Large front zippered pocket. Available in multiple sizes and/or colours — select your variant.",Buy OGIO Throttle Backpack | Mile 27 Store,"The OGIO Throttle Pack is a top-loading back pack with a water-resistant rain hood. The internal electronics pocket is fleece line, and the laptop sleeve……",3,5,true
Scorpion,Scorpion Serket Parallel Slip-On Exhaust For Kawasaki Ninja 1000 2020-22,General,Accessories,General,Accessories > General,Brand selection: Scorpion (score 54),High,Keep 3 variants (sizes/colours),Parent (2 variants merged),High,Medium,94000,scorpion-serket-parallel-slip-on-exhaust-for-kawasaki-ninja-1000-2020-22,Scorpion Serket Parallel Slip-On Exhaust For Kawasaki Ninja 1000 2020-22,scorpion-serket-parallel-slip-on-exhaust-for-kawasaki-ninja-1000-2020-22,Scorpion Serket Parallel Slip-On Exhausts are the modern solution to flat performance and unnecessary weight. Save now on both weight and loss of power by… • No repacking of exhaust. • Significant weight savings. • Optional baffle removal for track day use. • Optimal dyno tuned performance.,Scorpion Serket Parallel Slip-On Exhaust For Kawasaki Ninja 10…,Scorpion Serket Parallel Slip-On Exhausts are the modern solution to flat performance and unnecessary weight. Save now on both weight and loss of power…,3,5,true
Scorpion,Scorpion Red Power Slip-On Exhaust For Kawasaki Ninja 1000 2020-22,General,Accessories,General,Accessories > General,Brand selection: Scorpion (score 41),High,Keep 2 variants (sizes/colours),Unique,High,Medium,64500,scorpion-red-power-slip-on-exhaust-for-kawasaki-ninja-1000-2020-22,Scorpion Red Power Slip-On Exhaust For Kawasaki Ninja 1000 2020-22,scorpion-red-power-slip-on-exhaust-for-kawasaki-ninja-1000-2020-22,One of the big four Japanese motorcycle producers Kawasaki has a history stretching back to the 1960’s producing many innovative models over the years including…,Scorpion Red Power Slip-On Exhaust For Kawasaki Ninja 1000 202…,One of the big four Japanese motorcycle producers Kawasaki has a history stretching back to the 1960’s producing many innovative models over the years…,2,4,false
Sena,Sena 10S Bluetooth Headset - Dual Pack,Intercoms,Accessories,Intercoms,Accessories > Intercoms,Category fill: Accessories > Intercoms (score 44),High,Single variant,Unique,High,Medium,36999,sena-10s-bluetooth-headset-dual-pack,Sena 10S Bluetooth Headset - Dual Pack,sena-10s-bluetooth-headset-dual-pack,"The tried and true SMH-10 has received a overdue update in the form of the Sena 10S. The slimmer profile hides a leap in technology,… • Talk time: 12 hours. • Stand-by time: 10 days. • Operating temperature: -10˚C - 55˚C (14°F - 131°F). • Dimensions:.",Buy Sena 10S Bluetooth Headset - Dual Pack | Mile 27 Store,"The tried and true SMH-10 has received a overdue update in the form of the Sena 10S. The slimmer profile hides a leap in technology,… Talk time: 12 hours.…",1,6,true
Sena,Sena SMH-10 Bluetooth Headset Dual Pack,Intercoms,Accessories,Intercoms,Accessories > Intercoms,Category fill: Accessories > Intercoms (score 44),High,Single variant,Unique,High,Medium,35999,sena-smh-10-bluetooth-headset-dual-pack,Sena SMH-10 Bluetooth Headset Dual Pack,sena-smh-10-bluetooth-headset-dual-pack,"The SMH10 is a Bluetooth v3.0+EDR Class 1 Stereo Headset with long-range Bluetooth Intercom designed specifically for motorcycles. With the SMH10 on your helmet, you… • Universal Intercom: Allows pairing to another brands of Bluetooth headsets. • Audio Booster. • Individual Volume Control. • Versatile Jog Dial.",Buy Sena SMH-10 Bluetooth Headset Dual Pack | Mile 27 Store,The SMH10 is a Bluetooth v3.0+EDR Class 1 Stereo Headset with long-range Bluetooth Intercom designed specifically for motorcycles. With the SMH10 on your…,1,7,true
Sena,Sena 10R Bluetooth Headset,Intercoms,Accessories,Intercoms,Accessories > Intercoms,Brand selection: Sena (score 54),High,Keep 2 variants (sizes/colours),Unique,High,Medium,18999,sena-10r-bluetooth-headset,Sena 10R Bluetooth Headset,sena-10r-bluetooth-headset,"Low profile, yet rich with high-performance features, the Sena 10R lets riders make hands-free phone calls, listen to music, get GPS directions, and have full-duplex… • Talk time: 10 hours. • Operating temperature: -10˚C – 55˚C (14°F – 131°F). • Headset dimensions: 70.7 mm x 36.6 mm x 13.7 mm (2.8 in x 1.4 in x 0.5 in). • Headset weight: 22 g (0.78 oz).",Buy Sena 10R Bluetooth Headset | Mile 27 Store,"Low profile, yet rich with high-performance features, the Sena 10R lets riders make hands-free phone calls, listen to music, get GPS directions, and have…",2,6,true
Sena,Sena Parani A10 Bluetooth Intercom,Intercoms,Accessories,Intercoms,Accessories > Intercoms,Brand selection: Sena (score 54),High,Keep 2 variants (sizes/colours),Unique,Medium,Medium,7299,parani-a10-bluetooth-intercom,Parani A10 Bluetooth Intercom,parani-a10-bluetooth-intercom,"• 4-way Bluetooth Intercom, 2-way HD Intercom • 4-way Bluetooth Intercom, 2-way HD Intercom. • Intercom range of up to 1 km (0.6 mi). • LCD Screen to display and make changes to the device’s settings. • Available in two variants: boom microphone or wired microphone.",Buy Sena Parani A10 Bluetooth Intercom | Mile 27 Store,"4-way Bluetooth Intercom, 2-way HD Intercom 4-way Bluetooth Intercom, 2-way HD Intercom. Intercom range of up to 1 km (0.6 mi). LCD Screen to display and…",2,7,true
Stylmartin,Stylmartin Iron Riding Shoes,General,Accessories,General,Accessories > General,Brand selection: Stylmartin (score 51),High,Keep 12 variants (sizes/colours),Unique,High,Medium,27999,stylmartin-iron-riding-shoes,Stylmartin Iron Riding Shoes,stylmartin-iron-riding-shoes,The Iron Riding Shoe is the Ducati-riding Italian cousin of the Vans Sk8-Hi. These classic high-tops feature a glossy full grain leather upper with a… • Full grain water-repellent Graffiti leather. • CE certified. • Waterproof / breathable liner. • PU ankle protective inserts. Available in multiple sizes and/or colours — select your variant.,Buy Stylmartin Iron Riding Shoes | Mile 27 Store,The Iron Riding Shoe is the Ducati-riding Italian cousin of the Vans Sk8-Hi. These classic high-tops feature a glossy full grain leather upper with a……,12,3,true
Tour Master,Tour Master Elite Motorcycle Cover,General,Accessories,General,Accessories > General,Brand selection: Tour Master (score 49),High,Keep 4 variants (sizes/colours),Unique,High,Medium,18000,tour-master-elite-motorcycle-cover,Tour Master Elite Motorcycle Cover,tour-master-elite-motorcycle-cover,Tour Master Elite Motorcycle Cover • Made from high quality 300 Denier Carbolex®. • 100% waterproof. • Double stitched and taped seams. • Fully vented. Available in multiple sizes and/or colours — select your variant.,Buy Tour Master Elite Motorcycle Cover | Mile 27 Store,Tour Master Elite Motorcycle Cover Made from high quality 300 Denier Carbolex®. 100% waterproof. Double stitched and taped seams. Fully vented.,4,1,true
Leatt,Leatt Moto 4.5 X-Flow Jersey,T-Shirts,Apparel,T-Shirts,Apparel > T-Shirts,Brand selection: Leatt (score 54),High,Keep 15 variants (sizes/colours),Unique,Medium,Low,6500,leatt-moto-4-5-x-flow-jersey,Leatt Moto 4.5 X-Flow Jersey,leatt-moto-4-5-x-flow-jersey,"The brother of the 5.5 Factory Racing Jersey and unbeaten in its class, the Leatt Moto 4.5 X-Flow Jersey offers a classic fit and is… • Classic fit. • Lightweight MoistureCool fully vented X-Flow mesh. • Overlock stitched seams for comfort. • Collar design for use with or without a neck brace. Available in multiple sizes and/or colours — select your variant.",Buy Leatt Moto 4.5 X-Flow Jersey | Mile 27 Store,"The brother of the 5.5 Factory Racing Jersey and unbeaten in its class, the Leatt Moto 4.5 X-Flow Jersey offers a classic fit and is… Classic fit.…",15,4,true
AGV,AGV K3 Rossi Winter Test 2018 Helmet,Full Face,Helmets,Full Face,Helmets > Full Face,Brand selection: AGV (score 41),High,Keep 6 variants (sizes/colours),Parent (2 variants merged),High,High,63000,agv-k3-rossi-winter-test-2018-helmet,AGV K3 Rossi Winter Test 2018 Helmet,agv-k3-rossi-winter-test-2018-helmet,"An AGV icon, evolving towards perfection. K3 is AGV’s full-face road helmet that takes all the characteristics of a versatile, safe helmet to outstanding levels. Available in multiple sizes and/or colours — select your variant.",Buy AGV K3 Rossi Winter Test 2018 Helmet | Mile 27 Store,"An AGV icon, evolving towards perfection. K3 is AGV’s full-face road helmet that takes all the characteristics of a versatile, safe helmet to outstanding…",6,6,false
AGV,AGV K3 Wing Black/Italy Helmet,Full Face,Helmets,Full Face,Helmets > Full Face,Brand selection: AGV (score 41),High,Keep 6 variants (sizes/colours),Unique,High,High,59000,agv-k3-wing-black-italy-helmet,AGV K3 Wing Black/Italy Helmet,agv-k3-wing-black-italy-helmet,"An AGV icon, evolving towards perfection. K3 is AGV’s full-face road helmet that takes all the characteristics of a versatile, safe helmet to outstanding levels. Available in multiple sizes and/or colours — select your variant.",Buy AGV K3 Wing Black/Italy Helmet | Mile 27 Store,"An AGV icon, evolving towards perfection. K3 is AGV’s full-face road helmet that takes all the characteristics of a versatile, safe helmet to outstanding…",6,6,false
